,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
587,2022-01-01 14:52:53,A2,連江縣南竿鄉四維村藍眼淚生態館前路段,撞護欄(樁),其他引起事故之違規或不當行為,死亡0;受傷2,119.919303,26.168136,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-01-01,14:52:53,0,2,連江縣
11069,2022-01-10 17:32:17,A2,連江縣南竿鄉復興村環境資源局前路口,側撞,迴轉未依規定,死亡0;受傷1,119.959517,26.166103,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-10,17:32:17,0,1,連江縣
21055,2022-01-19 08:55:28,A2,連江縣南竿鄉清水村84-1號前路口,側撞,未依規定讓車,死亡0;受傷1,119.939517,26.147196,1: 小客車 (自用); 2: 機車 (大型重型1(550C.C.以上)),大型重型1(550C.C.以上),,自用,,,,,,,,,,,,2022-01-19,08:55:28,0,1,連江縣
31326,2022-01-28 12:48:58,A2,連江縣南竿鄉福沃路19號前路口(福澳商會前路口),同向擦撞,未保持行車安全距離,死亡0;受傷1,119.945013,26.15744,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-01-28,12:48:58,0,1,連江縣
40780,2022-02-09 08:16:00,A2,連江縣南竿鄉清水村132號前下行路段,側撞,未保持行車安全距離,死亡0;受傷1,119.9388,26.152931,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-02-09,08:16:00,0,1,連江縣
43641,2022-02-11 17:53:13,A2,連江縣南竿鄉中央大道梅石加油站往大砲連路段,路上翻車、摔倒,尚未發現肇事因素,死亡0;受傷1,119.942038,26.149711,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-02-11,17:53:13,0,1,連江縣
50439,2022-02-18 10:58:53,A2,連江縣南竿鄉福澳嶺往復國路下行路段,路上翻車、摔倒,尚未發現肇事因素,死亡0;受傷1,119.946332,26.158439,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-02-18,10:58:53,0,1,連江縣
55419,2022-02-23 12:06:11,A2,連江縣南竿鄉復興村環保路15-1號前路段,同向擦撞,違規超車,死亡0;受傷2,119.954513,26.163122,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-02-23,12:06:11,0,2,連江縣
56753,2022-02-24 17:44:38,A2,連江縣南竿鄉福沃村142號前路口,路口交岔撞,起步未注意其他車(人)安全,死亡0;受傷2,119.941753,26.157449,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-02-24,17:44:38,0,2,連江縣
85433,2022-03-24 10:01:00,A2,連江縣莒光鄉大坪村大埔公廁前戰備專用道,其他,尚未發現肇事因素,死亡0;受傷1,119.976938,25.953687,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-24,10:01:00,0,1,連江縣
91348,2022-03-30 13:52:46,A2,連江縣南竿鄉四維村24-2號前路段,路上翻車、摔倒,尚未發現肇事因素,死亡0;受傷1,119.919819,26.168534,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-30,13:52:46,0,1,連江縣
97613,2022-04-06 07:54:16,A2,連江縣南竿鄉復興村209號前路段,穿越道路中,搶越行人穿越道,死亡0;受傷2,119.949842,26.160625,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-04-06,07:54:16,0,2,連江縣
