,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
125,2022-01-01 05:20:00,A2,澎湖縣湖西鄉縣204線 6公里20.0公尺處東側向內側,其他,裝載貨物不穩妥,死亡0;受傷4,119.629898,23.556632,1: 大貨車 (自用); 2: 機車 (普通重型); 3: 機車 (普通重型); 4: 人 (乘客); 5: 人 (乘客),普通重型,,,乘客,,,,自用,,,,,,,2022-01-01,05:20:00,0,4,澎湖縣
1746,2022-01-02 18:33:00,A2,澎湖縣馬公市光明里光復路口 / 澎湖縣馬公市光明里大勇街口,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,死亡0;受傷1,119.571116,23.572307,1: 人 (行人); 2: 機車 (普通重型),普通重型,,,行人,,,,,,,,,,,2022-01-02,18:33:00,0,1,澎湖縣
1756,2022-01-02 18:44:00,A2,澎湖縣馬公市中興里樹德路口 / 澎湖縣馬公市中興里文化路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.567603,23.568843,1: 機車 (普通重型); 2: 小客車 (租賃車); 3: 人 (乘客),普通重型,,租賃車,乘客,,,,,,,,,,,2022-01-02,18:44:00,0,2,澎湖縣
1969,2022-01-03 01:40:00,A2,澎湖縣馬公市縣205線 6公里70.0公尺處東側向外側,其他,未注意車前狀態,死亡0;受傷1,119.593078,23.555945,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-01-03,01:40:00,0,1,澎湖縣
2524,2022-01-03 12:07:00,A2,澎湖縣馬公市縣204線 2公里500.0公尺處西側向內側,其他,未注意車前狀態,死亡0;受傷1,119.603439,23.55712,1: 小客車 (自用); 2: 小客車 (自用),,,自用,,,,,,,,,,,,2022-01-03,12:07:00,0,1,澎湖縣
2554,2022-01-03 12:30:00,A2,澎湖縣馬公市東文里123之1號前岔路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.590253,23.562162,1: 機車 (普通重型); 2: 小客車 (計程車),普通重型,,計程車,,,,,,,,,,,,2022-01-03,12:30:00,0,1,澎湖縣
2618,2022-01-03 13:22:00,A2,澎湖縣馬公市陽明里永安街口 / 澎湖縣馬公市陽明里永安街口,追撞,未保持行車安全距離,死亡0;受傷2,119.572616,23.572343,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-01-03,13:22:00,0,2,澎湖縣
3618,2022-01-04 09:32:00,A2,澎湖縣馬公市東文里文安路口 / 澎湖縣馬公市東文里大賢街口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.580306,23.56138,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-04,09:32:00,0,1,澎湖縣
3696,2022-01-04 10:50:00,A2,澎湖縣馬公市縣204線 3公里口,追撞,起步未注意其他車(人)安全,死亡0;受傷2,119.606463,23.555425,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-04,10:50:00,0,2,澎湖縣
3894,2022-01-04 13:58:00,A2,澎湖縣馬公市縣203線 2公里700.0公尺處東側向內側,側撞,未依規定讓車,死亡0;受傷2,119.584647,23.569471,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-04,13:58:00,0,2,澎湖縣
